gene_id,gene_name,caudal_rep1_log2FC_prox_minus_dist,dorsal_50K_groupmean_log2FC_proxFish_minus_distFish,in_caudal_200gene_signature
ENSNFUG00015000041,ENSNFUG00015000041,0.04342736474755121,0.07802125793690348,False
ENSNFUG00015000047,fmr1,0.2762538877295868,-0.15062855736245173,False
ENSNFUG00015000053,ENSNFUG00015000053,-0.04315815114686836,0.052645528588332116,False
ENSNFUG00015000055,AFF2,0.3003956129013208,0.028425413012843806,False
ENSNFUG00015000056,ENSNFUG00015000056,0.03749285302679788,0.03981866647476167,False
ENSNFUG00015000126,IDS,0.17750110208271863,0.2203753844287899,False
ENSNFUG00015000176,dcps,0.5688851013200877,-0.07198618855785943,False
ENSNFUG00015000209,ENSNFUG00015000209,0.19426874211361467,0.2707603651462973,False
ENSNFUG00015000251,ENSNFUG00015000251,0.0188682189255246,0.0,False
ENSNFUG00015000299,LONRF3,-0.0011606297797337184,0.019134156971037986,False
ENSNFUG00015000387,commd5,0.15352204066458275,0.18213530855247684,False
ENSNFUG00015000392,ENSNFUG00015000392,0.21417811530985453,-0.1336047252402368,False
ENSNFUG00015000397,FAM199X,0.02026990617173452,-0.0034115076688456814,False
ENSNFUG00015000424,PIGG,0.3183246967747627,0.16746911451675328,False
ENSNFUG00015000508,ctsf,-0.17052712870304143,0.22981403439625492,False
ENSNFUG00015000551,ENSNFUG00015000551,0.004338242661729894,0.020620611371788042,False
ENSNFUG00015000556,ENSNFUG00015000556,-0.020371511897517403,0.015097293283494885,False
ENSNFUG00015000584,FNTA,0.3849764620189191,0.0544163676885665,False
ENSNFUG00015000612,AUP1,0.22295928719560476,0.12145430968486393,False
ENSNFUG00015000622,eif1ad,0.1775222010175499,-0.0011689409038422305,False
ENSNFUG00015000627,si:dkey-160o24.3,-0.07484483661128938,0.12859992182222196,False
ENSNFUG00015000636,NRG2B,0.2815888873614164,0.021108300806138024,False
ENSNFUG00015000672,psd2,0.8395254995943711,0.0743442345958355,False
ENSNFUG00015000685,ENSNFUG00015000685,0.0,0.0,False
ENSNFUG00015000690,ENSNFUG00015000690,0.0,0.0,False
ENSNFUG00015000699,ENSNFUG00015000699,0.30002604619045636,-0.03807034866019965,False
ENSNFUG00015000703,ENSNFUG00015000703,-0.020930618365195358,-0.0066042859265229015,False
ENSNFUG00015000711,zgc:110843,0.3474364788058928,0.2016795367500981,False
ENSNFUG00015000733,UBE2D2,0.18817338353882374,-0.007512514343503085,False
